"","date","phylum","abund","sampledate","day","month","year","doy"
"136","01Aug2013","unclassified.Archaea",0,2013-08-01,1,8,"2013",213
"137","01Aug2013","unclassified.Bacteria",0.37192518018082,2013-08-01,1,8,"2013",213
"138","01Aug2013","unclassified.Eukaryota",0.0112583737408897,2013-08-01,1,8,"2013",213
"139","01Aug2013","Verrucomicrobiota",3.98434797569644,2013-08-01,1,8,"2013",213
"140","01Aug2013","WOR-1",0,2013-08-01,1,8,"2013",213
"141","01Aug2013","WPS-2",0,2013-08-01,1,8,"2013",213
"142","01Aug2013","WS1",0,2013-08-01,1,8,"2013",213
"143","01Aug2013","WS4",0,2013-08-01,1,8,"2013",213
"144","01Aug2013","Zixibacteria",0,2013-08-01,1,8,"2013",213
"145","01Aug2014","Abditibacteriota",0,2014-08-01,1,8,"2014",213
"146","01Aug2014","Acidobacteriota",0.385506754262381,2014-08-01,1,8,"2014",213
"147","01Aug2014","Actinobacteriota",27.1823910657358,2014-08-01,1,8,"2014",213
"148","01Aug2014","Aenigmarchaeota",0,2014-08-01,1,8,"2014",213
"149","01Aug2014","Armatimonadota",0.442556447444882,2014-08-01,1,8,"2014",213
"150","01Aug2014","Arthropoda",0,2014-08-01,1,8,"2014",213
"151","01Aug2014","Bacteroidota",29.5722743367692,2014-08-01,1,8,"2014",213
"152","01Aug2014","Bdellovibrionota",0.817390523537685,2014-08-01,1,8,"2014",213
"153","01Aug2014","Caldisericota",0,2014-08-01,1,8,"2014",213
"154","01Aug2014","Calditrichota",0,2014-08-01,1,8,"2014",213
"155","01Aug2014","Campilobacterota",0.0399824089222702,2014-08-01,1,8,"2014",213
"156","01Aug2014","Cercozoa",0,2014-08-01,1,8,"2014",213
"157","01Aug2014","Chloroflexi",0.631447872084665,2014-08-01,1,8,"2014",213
"158","01Aug2014","Ciliophora",0,2014-08-01,1,8,"2014",213
"159","01Aug2014","Cloacimonadota",0,2014-08-01,1,8,"2014",213
"160","01Aug2014","Crenarchaeota",0,2014-08-01,1,8,"2014",213
"161","01Aug2014","Cyanobacteria",9.31948346736392,2014-08-01,1,8,"2014",213
"162","01Aug2014","Dadabacteria",0,2014-08-01,1,8,"2014",213
"163","01Aug2014","Deferrisomatota",0,2014-08-01,1,8,"2014",213
"164","01Aug2014","Deinococcota",0,2014-08-01,1,8,"2014",213
"165","01Aug2014","Dependentiae",0.00962079233575828,2014-08-01,1,8,"2014",213
"166","01Aug2014","Desulfobacterota",0.441206325780784,2014-08-01,1,8,"2014",213
"167","01Aug2014","Dinoflagellata",0,2014-08-01,1,8,"2014",213
"168","01Aug2014","Edwardsbacteria",0,2014-08-01,1,8,"2014",213
"169","01Aug2014","Elusimicrobiota",0,2014-08-01,1,8,"2014",213
"170","01Aug2014","Euglenozoa",0,2014-08-01,1,8,"2014",213
"171","01Aug2014","Euryarchaeota",0,2014-08-01,1,8,"2014",213
"172","01Aug2014","FCPU426",0,2014-08-01,1,8,"2014",213
"173","01Aug2014","Fermentibacterota",0,2014-08-01,1,8,"2014",213
"174","01Aug2014","Fibrobacterota",0.00667201914899722,2014-08-01,1,8,"2014",213
"175","01Aug2014","Firestonebacteria",0,2014-08-01,1,8,"2014",213
"176","01Aug2014","Firmicutes",0.0725680318917813,2014-08-01,1,8,"2014",213
"177","01Aug2014","Fusobacteriota",0.00517277956976013,2014-08-01,1,8,"2014",213
"178","01Aug2014","Gemmatimonadota",0.0925840893387729,2014-08-01,1,8,"2014",213
"179","01Aug2014","Halobacterota",0.00517277956976013,2014-08-01,1,8,"2014",213
"180","01Aug2014","Hydrogenedentes",0.00739678595275921,2014-08-01,1,8,"2014",213
"181","01Aug2014","Iainarchaeota",0,2014-08-01,1,8,"2014",213
"182","01Aug2014","Latescibacterota",0,2014-08-01,1,8,"2014",213
"183","01Aug2014","LCP-89",0,2014-08-01,1,8,"2014",213
"184","01Aug2014","Margulisbacteria",0,2014-08-01,1,8,"2014",213
"185","01Aug2014","Marinimicrobia_",0,2014-08-01,1,8,"2014",213
"186","01Aug2014","Methylomirabilota",0,2014-08-01,1,8,"2014",213
"187","01Aug2014","Micrarchaeota",0,2014-08-01,1,8,"2014",213
"188","01Aug2014","Myxococcota",0.321358510957399,2014-08-01,1,8,"2014",213
"189","01Aug2014","Nanoarchaeota",0,2014-08-01,1,8,"2014",213
"190","01Aug2014","NB1-j",0,2014-08-01,1,8,"2014",213
"191","01Aug2014","Nitrospinota",0,2014-08-01,1,8,"2014",213
"192","01Aug2014","Nitrospirota",0.00517277956976013,2014-08-01,1,8,"2014",213
"193","01Aug2014","NKB15",0,2014-08-01,1,8,"2014",213
"194","01Aug2014","Patescibacteria",0.034035156577035,2014-08-01,1,8,"2014",213
"195","01Aug2014","PAUC34f",0,2014-08-01,1,8,"2014",213
"196","01Aug2014","Planctomycetota",5.37432049249859,2014-08-01,1,8,"2014",213
"197","01Aug2014","Proteobacteria",18.5891521472389,2014-08-01,1,8,"2014",213
"198","01Aug2014","Rotifera",0,2014-08-01,1,8,"2014",213
"199","01Aug2014","SAR324_clade",0.527018984027134,2014-08-01,1,8,"2014",213
"200","01Aug2014","Spirochaetota",0.0140688051017564,2014-08-01,1,8,"2014",213
"201","01Aug2014","Sumerlaeota",0,2014-08-01,1,8,"2014",213
"202","01Aug2014","Sva0485",0.00444801276599815,2014-08-01,1,8,"2014",213
"203","01Aug2014","Synergistota",0,2014-08-01,1,8,"2014",213
"204","01Aug2014","TA06",0,2014-08-01,1,8,"2014",213
"205","01Aug2014","Thermoplasmatota",0,2014-08-01,1,8,"2014",213
"206","01Aug2014","Thermotogota",0,2014-08-01,1,8,"2014",213
"207","01Aug2014","unclassified.",1.22736134801306,2014-08-01,1,8,"2014",213
"208","01Aug2014","unclassified.Archaea",0,2014-08-01,1,8,"2014",213
"209","01Aug2014","unclassified.Bacteria",1.79866163581332,2014-08-01,1,8,"2014",213
"210","01Aug2014","unclassified.Eukaryota",0.0296368497827499,2014-08-01,1,8,"2014",213
"211","01Aug2014","Verrucomicrobiota",3.04111479156217,2014-08-01,1,8,"2014",213
"212","01Aug2014","WOR-1",0,2014-08-01,1,8,"2014",213
"213","01Aug2014","WPS-2",0.00222400638299907,2014-08-01,1,8,"2014",213
"214","01Aug2014","WS1",0,2014-08-01,1,8,"2014",213
"215","01Aug2014","WS4",0,2014-08-01,1,8,"2014",213
"216","01Aug2014","Zixibacteria",0,2014-08-01,1,8,"2014",213
"217","01Aug2015","Abditibacteriota",0,2015-08-01,1,8,"2015",213
"218","01Aug2015","Acidobacteriota",0.330828278921126,2015-08-01,1,8,"2015",213
"219","01Aug2015","Actinobacteriota",16.1255386808876,2015-08-01,1,8,"2015",213
"220","01Aug2015","Aenigmarchaeota",0,2015-08-01,1,8,"2015",213
"221","01Aug2015","Armatimonadota",1.50707822769676,2015-08-01,1,8,"2015",213
"222","01Aug2015","Arthropoda",0,2015-08-01,1,8,"2015",213
"223","01Aug2015","Bacteroidota",26.0710102604428,2015-08-01,1,8,"2015",213
"224","01Aug2015","Bdellovibrionota",0.971180338819539,2015-08-01,1,8,"2015",213
"225","01Aug2015","Caldisericota",0,2015-08-01,1,8,"2015",213
"226","01Aug2015","Calditrichota",0.00110505140057612,2015-08-01,1,8,"2015",213
"227","01Aug2015","Campilobacterota",0.0458668016756311,2015-08-01,1,8,"2015",213
"228","01Aug2015","Cercozoa",0,2015-08-01,1,8,"2015",213
"229","01Aug2015","Chloroflexi",1.07112828161776,2015-08-01,1,8,"2015",213
"230","01Aug2015","Ciliophora",0,2015-08-01,1,8,"2015",213
"231","01Aug2015","Cloacimonadota",0,2015-08-01,1,8,"2015",213
"232","01Aug2015","Crenarchaeota",0,2015-08-01,1,8,"2015",213
"233","01Aug2015","Cyanobacteria",19.6288165835187,2015-08-01,1,8,"2015",213
"234","01Aug2015","Dadabacteria",0,2015-08-01,1,8,"2015",213
"235","01Aug2015","Deferrisomatota",0,2015-08-01,1,8,"2015",213
"236","01Aug2015","Deinococcota",0.00221010280115224,2015-08-01,1,8,"2015",213
"237","01Aug2015","Dependentiae",0.199217773436595,2015-08-01,1,8,"2015",213
"238","01Aug2015","Desulfobacterota",0.141195406354627,2015-08-01,1,8,"2015",213
"239","01Aug2015","Dinoflagellata",0,2015-08-01,1,8,"2015",213
"240","01Aug2015","Edwardsbacteria",0,2015-08-01,1,8,"2015",213
"241","01Aug2015","Elusimicrobiota",0,2015-08-01,1,8,"2015",213
"242","01Aug2015","Euglenozoa",0,2015-08-01,1,8,"2015",213
"243","01Aug2015","Euryarchaeota",0,2015-08-01,1,8,"2015",213
"244","01Aug2015","FCPU426",0,2015-08-01,1,8,"2015",213
"245","01Aug2015","Fermentibacterota",0,2015-08-01,1,8,"2015",213
"246","01Aug2015","Fibrobacterota",0,2015-08-01,1,8,"2015",213
"247","01Aug2015","Firestonebacteria",0,2015-08-01,1,8,"2015",213
"248","01Aug2015","Firmicutes",0.19515812956938,2015-08-01,1,8,"2015",213
"249","01Aug2015","Fusobacteriota",0.00221010280115224,2015-08-01,1,8,"2015",213
