"sampledate","year","daynum","stratFlag","thermocline","layer","temp","o2","tp","doc"
2007-10-01,2007,274,TRUE,15.1027892638689,"all",18.1436317176525,5.91351863100151,260.351058437726,5.39161485302585
2007-10-01,2007,274,TRUE,15.1027892638689,"epi",19.0496192226891,6.95395220588235,198.648995535714,5.35917016806723
2007-10-01,2007,274,TRUE,15.1027892638689,"hypo",13.0813429111924,0.1,605.117029963735,5.57290252485585
2007-10-29,2007,302,TRUE,22.9411278373109,"all",14.2962189665423,7.50426171976926,NA,NA
2007-10-29,2007,302,TRUE,22.9411278373109,"epi",14.2988616071429,7.51337053571428,135.045561290923,5.04455482700893
2007-10-29,2007,302,TRUE,22.9411278373109,"hypo",13.0513150637829,3.21325048015272,NA,NA
2007-11-26,2007,330,FALSE,NA,"all",7.10145851128682,11.2650378340454,145.536839207995,5.09355731841213
2008-02-13,2008,44,FALSE,NA,"all",0.842214181438747,11.6520068020252,148.125877837588,5.13059504667985
2008-04-14,2008,105,FALSE,NA,"all",2.9562201665173,15.2293350497374,135.911432427939,4.94642514445499
2008-04-28,2008,119,FALSE,NA,"all",6.93824248196155,15.368846935377,39.6481820940907,NA
2008-05-12,2008,133,TRUE,11.4559331891496,"all",9.5685807588897,13.4363955099069,58.9045769849099,NA
2008-05-12,2008,133,TRUE,11.4559331891496,"epi",9.70725134737874,13.4993793891883,54.1088212477544,NA
2008-05-12,2008,133,TRUE,11.4559331891496,"hypo",9.27128591631461,13.3013648398869,69.186162016324,NA
2008-05-28,2008,149,TRUE,10.9079667777607,"all",12.9505219980026,10.4563607213887,NA,NA
2008-05-28,2008,149,TRUE,10.9079667777607,"epi",13.7355848724714,11.021671064204,73.6441512752858,NA
2008-05-28,2008,149,TRUE,10.9079667777607,"hypo",11.5956175180953,9.48071718896885,NA,NA
2008-06-09,2008,161,TRUE,13.1195174080981,"all",16.0720455074964,8.98406552829158,99.0303829059634,NA
2008-06-09,2008,161,TRUE,13.1195174080981,"epi",16.8603817235396,9.5450983227299,83.6112998843262,NA
2008-06-09,2008,161,TRUE,13.1195174080981,"hypo",13.4292532434453,7.10327773896171,150.720806990338,NA
2008-06-23,2008,175,TRUE,10.9906396926003,"all",17.9997957535453,8.12887220189828,NA,NA
2008-06-23,2008,175,TRUE,10.9906396926003,"epi",20.3948988566403,10.5427792436236,105.337730870712,NA
2008-06-23,2008,175,TRUE,10.9906396926003,"hypo",13.8661957200205,3.96281930183429,NA,NA
2008-07-07,2008,189,TRUE,10.4011890156468,"all",19.5613499104149,6.4141645813398,143.083613884459,5.12590820616939
2008-07-07,2008,189,TRUE,10.4011890156468,"epi",22.3723306948109,9.14833773087071,93.3346965699208,5.22406420404573
2008-07-07,2008,189,TRUE,10.4011890156468,"hypo",14.7100054110479,1.69537890236058,228.943018439302,4.95650521237426
2008-07-21,2008,203,TRUE,10.5030690151385,"all",20.7456653494988,5.97559756585418,NA,NA
2008-07-21,2008,203,TRUE,10.5030690151385,"epi",24.1850835532102,9.13829375549692,52.1779243623571,NA
2008-07-21,2008,203,TRUE,10.5030690151385,"hypo",14.8097291537687,0.517243368641488,NA,NA
2008-08-04,2008,217,TRUE,10.8019317797412,"all",21.125485418593,3.9607888208967,168.231741976554,5.40717279825323
